id,own,competing1,competing3,borrowertype,accepted,default,profit
147,.1156,.7885083,.10267199,2,1,1,-10000
148,.071099997,1,.47479346,3,1,0,710.99994
149,.0537,.69959998,.46387681,1,1,0,537
150,.0484,.40869999,.48601356,3,1,0,484
151,.096000001,.90859997,.091839023,3,0,0,
152,.1909,,.50473005,1,1,0,1909
153,.186,,.34294996,3,1,0,1860
154,.1275,,.36686707,3,1,0,1275
155,.058200002,.73000002,.13662992,1,1,0,582
156,.16320001,1,.54331839,2,1,0,1632
157,.1921,.95486319,.89997756,3,1,0,1921
158,.032099999,.017148584,.0047473819,3,0,0,
159,.038199998,.2498,.18250163,1,1,0,381.99997
160,.34869999,,.73638028,1,1,1,-10000
161,.31600001,1,,3,1,0,3160.0002
162,.070600003,,.066166945,3,0,0,
163,.083499998,,,2,1,0,835
164,.2413,1,,1,1,0,2413
165,.1126,,.057556879,2,0,0,
166,.084100001,.67940068,.027403174,3,0,0,
167,.035100002,.022872034,.12880725,1,0,0,
168,.031199999,.02,.037379254,3,0,0,
169,.1508,,.32123709,1,1,0,1508
170,.088299997,1,.075203367,2,1,0,883
171,,,.37622172,1,0,1,
172,.039000001,.063382037,.022586953,1,0,0,
173,.039099999,.5323,.28318429,3,1,0,391
174,.031300001,.02,.073917806,3,0,0,
175,.081699997,1,.086374767,2,1,0,817
176,.2586,1,.12628534,1,0,0,
177,,,,2,0,0,
178,.25870001,1,.231079,3,0,0,
179,.2104,.9804734,.14975649,2,0,0,
180,.047899999,.54499364,.34388384,3,1,0,479
181,.086400002,.70749998,.042090226,1,0,0,
182,.32120001,,,1,1,0,3212.0002
183,.091200002,.70660001,.4603681,3,1,0,912
184,.032600001,.15009999,.0020307398,2,0,0,
185,.0788,.6204077,.029823886,3,0,0,
186,.1937,,,3,1,1,-10000
187,.050299998,.63529998,.17852256,2,1,0,502.99997
188,.24240001,.95281458,.081966527,1,0,0,
189,.1143,,.042467505,1,0,0,
190,.1432,.9356029,.55352539,3,1,0,1432
191,.031300001,.38129225,.22681728,3,1,0,313
192,.079099998,,.12554082,2,1,0,791
193,.043200001,.3978,.010557159,3,0,0,
194,.2392,,.074761227,1,0,1,
195,.090599999,,,2,1,0,906
196,.036699999,.53950965,.20963544,1,1,0,367
197,.1216,.65868545,.079444095,3,0,0,
198,.35929999,1,,3,1,0,3592.9998
199,,,,3,0,0,
200,.36129999,.82590002,.74885112,2,1,0,3613
201,.043200001,.57969999,.25203514,3,1,0,432
202,.26620001,,.97462124,3,1,0,2662
203,.2656,,,3,1,1,-10000
204,.102,.82239997,.094711713,1,0,0,
205,.1955,.74910003,.65138227,2,1,0,1955
206,,1,.17306773,1,0,0,
207,,1,.1214757,2,0,0,
208,.1716,,.25839308,1,1,0,1716
209,.23270001,1,,3,1,0,2327
210,.1707,.7885083,.018889453,1,0,0,
211,,,,3,0,0,
212,,,1,2,0,0,
213,.21520001,,.15339239,2,0,0,
214,.17479999,,.18603681,2,1,0,1747.9999
215,.31979999,.97061872,.71590739,2,1,0,3198
216,.0788,.55943024,.025592918,3,0,0,
217,.050900001,.79957056,,2,1,0,509
218,.032499999,.34890363,.036823347,3,0,0,
219,.041099999,.47255209,.029589649,2,1,0,411
220,.30149999,.87989998,.75101835,2,1,0,3015
221,.35699999,1,,2,1,0,3570
222,.14120001,.73927331,.11850619,2,0,1,
223,.27320001,,.095720477,3,0,0,
224,.3114,,.15372036,3,0,0,
225,.3048,,,3,1,1,-10000
226,.17749999,.89988863,.20771024,3,1,0,1775
227,.33469999,1,,1,1,0,3347
228,.032000002,.21879999,.0017160049,3,0,0,
229,.040100001,.2314,.17290273,1,1,0,401
230,.068800002,.67940068,.09036845,2,1,0,688
231,.035500001,.46392086,.0036542232,1,0,0,
232,.3017,.85119998,1,2,1,0,3017
233,.081799999,.64268124,,3,1,0,818
234,.031300001,.34890363,.0010625562,3,0,0,
235,.031199999,.02,.068217985,3,0,0,
236,.26930001,.96961129,.19439024,1,0,1,
237,.2472,1,.97462124,1,1,0,2472
238,.1603,.98040003,,3,1,1,-10000
239,.185,,.1409764,3,0,0,
240,.2026,.91223502,.22175892,3,0,0,
241,.0341,.38991484,.13158871,1,1,0,341
242,.034400001,.0493,.19866265,1,0,0,
243,.035100002,.026306517,.0042490554,3,0,0,
244,.36160001,.91109997,.92646432,1,1,0,3616
245,.169,,.06346415,2,0,0,
246,.052900001,.77961791,.083967462,3,1,0,529
247,.1971,1,.21738435,1,1,0,1971
248,.3432,.70719999,,1,1,0,3432
249,.058699999,.50889999,.030947668,1,0,0,
250,.032699998,.38206366,.0084149074,1,0,0,
251,.36989999,,,1,1,0,3699
252,.0429,.2156,.0048086457,2,0,0,
253,.069600001,.83600003,.05509004,2,1,0,696
254,.18189999,.94729793,.18485513,1,1,0,1819
255,.23379999,1,1,3,1,0,2338
256,.2606,,,2,1,0,2606
257,.26230001,,.15637355,1,0,0,
258,.33500001,.73760003,.091165893,3,0,0,
259,,.90530002,.93216866,2,0,0,
260,.25209999,1,.10151485,2,0,0,
261,.30759999,,.14802918,2,0,0,
262,.076499999,.67940068,.060772251,1,0,0,
263,.090800002,.84350002,,1,1,0,908
264,.1071,.65868545,1,2,1,0,1071
265,.35370001,1,.93662786,2,1,0,3537
266,.053300001,1,.98083735,1,1,0,533
267,.3328,.829,.28585824,1,0,0,
268,.3495,,,3,1,0,3495
269,.30430001,1,,3,1,0,3043
270,.26969999,,.22391815,1,0,0,
271,.068499997,.56357586,.026308281,1,0,0,
272,.17299999,,.17352256,3,0,0,
273,.266,,,1,1,1,-10000
274,.049400002,.41049999,.050821882,1,1,0,494.00003
275,.041000001,.063382037,.19082287,3,1,1,-10000
276,.039799999,,.03939401,1,0,0,
277,.17550001,,,2,1,1,-10000
278,.1166,,.13724583,3,1,1,-10000
279,,1,.064365342,2,0,0,
280,,,,2,0,1,
281,.1055,.96530002,.59143871,1,1,0,1055
282,.2013,.96028697,,3,1,0,2013
283,.031199999,.02,.036761288,3,0,0,
284,,,.12571765,1,0,0,
285,.054900002,.505,.64851451,3,1,0,549
286,.078000002,.55943024,.30842558,1,1,0,780
287,.36809999,.80919999,,3,1,0,3680.9998
288,.1638,,,2,1,0,1638
289,.31020001,,.12142341,2,0,0,
290,.1205,.82629609,,1,1,0,1205
291,.2534,,,1,1,0,2534
292,.0614,.75737596,.76207852,3,1,0,614
293,.25920001,1,.26591527,1,1,0,2592
294,.035300002,,.18790844,1,1,0,353
295,.1205,.79669321,,1,1,0,1205
296,.161,.89988863,,1,1,0,1610
297,,1,.38244852,2,0,0,
298,,,.19926336,3,0,0,
299,.096799999,,,3,1,0,968
300,.1842,1,.98257709,2,1,0,1842
301,.29800001,,,2,1,0,2980
302,.1481,.89988863,,3,1,0,1481
303,.079800002,.68110001,.04991306,2,0,0,
304,.2007,1,.97462124,1,1,0,2007
305,.039999999,.039456517,.25903994,1,0,0,
306,.14650001,,.94204712,1,1,0,1465.0001
307,.0425,.66229999,.037246846,1,0,0,
308,.031500001,.063699998,.0059651565,3,0,0,
309,.3581,,,3,1,0,3581
310,.1618,.99087882,.70008326,2,1,0,1618
311,.26589999,.95281458,,2,1,0,2658.9998
312,.043000001,.6153,.40814567,1,1,0,430
313,.1135,.77602363,.26110387,3,1,0,1135
314,.0319,.34649727,.171948,3,1,0,319
315,.2225,,.11916084,2,0,0,
316,.22050001,,1,2,1,0,2205
317,.27360001,.99087882,.25758475,1,0,0,
318,.1148,.90649998,,2,1,0,1148
319,.2111,1,.1315507,1,0,0,
320,.18000001,.89988863,.06881538,3,0,0,
321,.0319,.1637,.13297191,1,1,0,319
322,,,.93216866,1,0,0,
323,.126,.74036109,.13701099,1,1,0,1260
324,.14740001,,.19853994,3,1,0,1474.0001
325,.079000004,.73159999,.029247563,3,0,0,
326,.0348,.41826621,.00075659627,2,0,0,
327,.0372,.39069846,.0018011786,3,0,0,
328,.1965,.82699168,.93810785,1,1,0,1965
329,.031599998,.0117,.00016540063,2,0,0,
330,.26809999,,.071168706,2,0,0,
331,.36590001,,.33946764,2,0,0,
332,.043099999,.45532635,.20025584,3,1,0,431
333,.031199999,.000099999997,.0015879278,2,0,0,
334,.1258,.51800001,.023363709,2,0,0,
335,,,.36491314,3,0,1,
336,.1078,1,.70138788,3,1,0,1078
337,.069499999,.6965,.39587969,1,1,0,695
338,.047899999,.7493,.03743992,1,0,0,
339,,,.84533912,3,0,0,
340,.076099999,.94410002,.89064509,1,1,1,-10000
341,.2333,,.34192905,2,1,0,2333
342,.1585,1,,3,1,1,-10000
343,.1284,.047594443,.50302768,2,0,0,
344,.2225,,.21717042,3,0,0,
345,.099299997,.87440002,,2,1,0,993
346,.047800001,.031844605,.04350717,3,0,0,
347,.050799999,.066986673,.066763937,1,0,1,
348,.34040001,1,.56913686,1,1,0,3404
349,.038800001,.018976336,.14766349,2,1,0,388
350,.052900001,.54095304,.024543703,2,0,0,
351,.111,,.13393225,1,1,0,1110
352,.072300002,,.069821738,2,1,0,723
353,.050999999,.05710065,.017920421,3,0,0,
354,.15189999,.84670317,.13338818,3,0,0,
355,.093599997,.75260001,,2,1,1,-10000
356,.0535,1,.040322404,2,1,0,535
357,.34720001,,.86975688,2,1,0,3472
358,.0682,.67940068,.99338901,1,1,0,682
359,.1106,1,.076615222,1,0,0,
360,.191,.97064877,,3,1,0,1910
361,.043099999,.37130001,.012580288,1,0,0,
362,.0392,.30199999,.11954372,2,1,0,392
363,.1195,.72889137,,3,1,0,1195
364,,,.47580513,1,0,0,
365,.3053,1,.97462124,1,1,0,3053
366,.18889999,1,,3,1,1,-10000
367,.034400001,.12720001,.12372005,2,1,0,344
368,.031300001,.34890363,.037379254,3,0,0,
369,.034200002,.017318834,.14258842,3,0,0,
370,.049899999,.4831312,.023945291,2,0,0,
371,.0504,.48462716,.054007683,1,1,0,504
372,.2472,1,.97462124,3,1,0,2472
373,.19499999,.70829999,.063879959,2,0,0,
374,.1803,1,.14256248,1,0,0,
375,.2448,1,.25338215,3,0,0,
376,.3168,,.34508327,2,1,0,3168
377,.2744,1,.32885608,2,1,1,-10000
378,.1771,,.12763336,1,0,0,
379,,,,3,0,0,
380,.031300001,.34890363,.064633816,2,1,0,313
381,.131,.85089999,.15404715,2,1,0,1310
382,.25830001,,.078961931,1,0,0,
383,.34670001,.83770001,.089003183,2,0,0,
384,.054699998,.8567,.1211829,3,1,0,547
385,.36669999,,.10863928,3,0,0,
386,.063900001,,,1,1,0,639
387,,,.25578028,3,0,0,
388,.1144,.70088053,.037275422,2,0,0,
389,.062199999,.71689999,.087148517,3,1,0,622
390,.1134,.04967007,.49050975,2,0,0,
391,.0317,.43059999,.003141707,3,0,0,
392,.072400004,.047845233,.04097829,3,0,0,
393,.054099999,.63779998,.039693579,1,0,0,
394,.2035,.92841876,,2,1,0,2035
395,,1,.75101835,1,0,0,
396,.0493,,.37949976,1,1,0,493
397,.241,,.16622099,1,0,0,
398,.2005,1,.97007287,3,1,1,-10000
399,.2165,1,.25369465,1,1,0,2165
400,.3369,,,2,1,0,3369
401,.039799999,.47604176,.17290273,2,1,0,398
402,,,,1,0,1,
403,.2176,,.1315507,2,0,0,
404,.093999997,,.15678637,1,1,0,939.99994
405,.042199999,.31650001,.20594344,3,1,0,422
406,.1226,.86665857,,1,1,0,1226
407,.031599998,.38434568,.0029330463,3,0,0,
408,.2317,,.15078846,2,0,0,
409,,1,,2,0,0,
410,.1006,.67150176,.085801452,3,0,0,
411,.29910001,,.45579088,3,1,0,2991
412,.30230001,1,,2,1,0,3023
413,.056299999,.70450002,.28599569,1,1,0,563
414,.044300001,.65270001,.055836979,1,1,0,443
415,.1138,.88359427,.06400723,3,0,0,
416,.14579999,,.7875399,2,1,0,1458
417,.039500002,.44682249,.19082287,1,1,0,395.00003
418,.049800001,.51841164,.02335882,1,0,0,
419,.032299999,.3809382,.067014016,1,1,0,323
420,.095100001,.7493,.080986865,1,0,0,
421,.25029999,,.10539729,2,0,0,
422,.3362,,.24936196,2,0,0,
423,.1233,,.21317683,2,1,0,1233
424,.0526,.5571,.037193671,2,1,0,526
425,.072400004,.62088716,.05286013,1,0,0,
426,.042199999,.31420001,.010844498,2,0,0,
427,.33270001,1,,3,1,0,3327.0002
428,.1043,,.75497442,3,1,1,-10000
429,,,,3,0,0,
430,,1,.37991798,3,0,1,
431,.066299997,.59219038,,1,1,0,663
432,.096500002,.71077001,.64775628,1,1,0,965
433,.1009,1,.028047785,2,0,0,
434,.041700002,.027326055,.0038387366,1,0,0,
435,.037599999,.042540248,.24587271,3,1,0,376
436,.106,,.66277307,1,1,0,1060
437,.1979,1,.22202399,3,1,1,-10000
438,.090899996,,,2,1,0,908.99994
439,.0359,.7148,.094980322,2,1,0,359
440,.079499997,,.15942428,2,1,0,795
441,.12890001,,,2,1,0,1289.0001
442,.1066,.72495794,1,3,1,0,1066
443,.2642,.94179857,.20456429,2,0,0,
444,.031599998,.34649727,.036823347,1,1,0,316
445,.2956,,.14914852,1,0,0,
446,.25709999,1,.98705381,3,1,0,2570.9998
447,.053800002,.55660295,.25297189,2,1,0,538
448,.0722,.8373,.40113503,1,1,0,722
449,,,.31158906,3,0,0,
450,.20020001,,.074161366,3,0,0,
451,.031199999,.02,.036761288,1,0,0,
452,.21709999,,.17597756,3,0,0,
453,.2913,,.19248661,1,0,0,
454,.1432,.89492691,,3,1,0,1432
455,.18170001,1,.17665489,3,0,0,
456,.1119,.834795,.29276809,2,1,0,1119
457,.2185,,.99819022,3,1,0,2185
458,.050900001,.56568098,.034903452,2,1,0,509
459,,,.12501241,2,0,1,
460,.2931,1,,1,1,0,2931
461,,,,2,0,0,
462,.075400002,.57910001,1,2,1,0,754
463,.035700001,.50459999,.21327716,3,1,0,357
464,.2006,.84311724,.12989122,1,0,0,
465,.039999999,.030923862,.18250163,1,0,0,
466,.0447,.051281672,.019438447,3,0,0,
467,.064499997,.56317914,.024457857,2,0,0,
468,,1,.20276257,2,0,0,
469,.037500001,.30829999,.018457947,1,0,0,
470,.30320001,1,,3,1,1,-10000
471,.2101,1,.15784791,1,0,0,
472,.1072,.7812897,.66294837,3,1,0,1072
473,.29879999,,.10307798,2,0,0,
474,.037900001,.138,.078958988,1,1,0,379
475,.093599997,.8951987,.62817281,1,1,0,936
476,,,.28533489,1,0,1,
477,.091300003,.9716,.061484236,3,0,0,
478,.23019999,.94179857,.20477866,1,0,0,
479,.031300001,.34577665,.036823347,1,1,0,313
480,.096799999,,,1,1,0,968
481,.037700001,.4217,.0023868831,3,0,0,
482,,.79299998,.1484614,3,0,0,
483,.16140001,1,.24286331,3,1,0,1614
484,.35210001,,.082651101,1,0,0,
485,.3558,,.15035829,3,0,0,
486,.18260001,,.89261109,2,1,0,1826.0001
487,.097599998,1,.15078846,1,1,1,-10000
488,.087300003,,.056425683,3,0,0,
489,.048999999,.54397953,.25297189,1,1,0,490
490,,1,.30500615,1,0,1,
491,.2472,1,.12137423,3,0,0,
492,.031199999,.02,.073917806,1,0,0,
493,.23559999,,.97462124,1,1,1,-10000
494,.35589999,,,2,1,1,-10000
495,.082500003,.72495794,,2,1,0,825.00006
496,.031199999,.02,.00003295936,1,0,0,
497,.30419999,,.44999424,2,1,0,3042
498,.061299998,.73830003,.98716277,2,1,0,613
499,.075599998,.6314168,.012527842,3,0,0,
500,.1067,.036727749,.014824261,1,0,0,
501,.12540001,.87813306,.57916617,1,1,0,1254.0001
502,.34009999,,,2,1,0,3401
503,.082900003,1,.52339709,2,1,0,829
504,.035399999,.018211201,.00223141,1,0,0,
505,.29660001,1,,3,1,0,2966.0002
506,.039500002,,.0143148,3,0,0,
507,.12819999,,.14258441,3,0,0,
508,.27790001,,.15074895,1,0,0,
509,.063000001,,.043432944,2,1,0,630
510,,,1,1,0,0,
511,.3019,1,,3,1,1,-10000
512,.2007,.84923446,.048265528,1,0,0,
513,.041099999,.045101542,.20620932,2,1,0,411
514,.080700003,,.12470412,2,1,0,807
515,.1732,1,.15946032,2,1,0,1732
516,.031199999,.02,.036553361,3,0,0,
517,.058899999,.064569764,.012154183,3,0,0,
518,.1074,.77602363,,2,1,1,-10000
519,.3132,.8854,.12608454,3,0,0,
520,.031300001,.34755293,.12199435,3,1,0,313
521,.061500002,.4931877,.031519134,2,0,0,
522,.043400001,.58819997,.59512132,3,1,0,434
523,.2156,.9804734,.074767336,3,0,1,
524,.041999999,.2762,.1337741,3,1,0,420
525,.1232,,.10933053,2,1,0,1232
526,.24879999,.94179857,.18743899,3,0,1,
527,.037300002,.019837935,.18250163,2,1,0,373.00003
528,.031199999,.02,.00011733337,3,0,0,
529,,,,3,0,0,
530,.22490001,.97942853,.15764028,2,0,0,
531,.085100003,.62881792,.19980067,2,1,0,851
532,.031800002,.018366683,.15103947,3,0,0,
533,.031800002,.05878504,.0040020752,3,0,0,
534,.043099999,.029192844,.1415071,3,0,0,
535,.080200002,1,.41800556,3,1,0,802
536,.1459,.8951987,,1,1,0,1459
537,.045200001,,.33046287,2,1,0,452
538,.0447,.44819999,.025954479,2,1,0,447
539,,1,,1,0,1,
540,.1219,,.044472639,1,0,0,
541,.053800002,.54803371,.26495147,1,1,1,-10000
542,.1167,.86799997,.092611901,2,0,0,
543,.034200002,.47019461,.0058371802,1,0,0,
544,.033199999,.021902664,.000070166403,2,0,0,
545,.1173,1,.092718601,2,0,0,
546,.1557,,,2,1,0,1557
547,.2194,,.10377555,3,0,0,
548,,1,.15794523,3,0,0,
549,.2022,1,,2,1,0,2022
550,.064900003,.6204077,.050310351,1,0,0,
551,,.73400003,,3,0,0,
552,.1146,1,.16548754,2,1,0,1146
553,.034600001,.47019461,.038975269,1,1,0,346
554,.047600001,.06062834,.21985079,2,1,0,476
555,,1,.38418722,1,0,1,
